title,imdb_score,show_type
#ABtalks,9.6,SHOW
Khawatir,9.5,SHOW
"Breaking Bad",9.5,SHOW
"Our Planet",9.3,SHOW
"Avatar: The Last Airbender",9.3,SHOW
"Reply 1988",9.2,SHOW
"My Mister",9.1,SHOW
"Kota Factory",9.1,SHOW
"The Last Dance",9.1,SHOW
"Attack on Titan",9,SHOW
