title,imdb_score,show_type
Aerials,1.5,MOVIE
"Me Against You: Mr. S's Vendetta",1.6,MOVIE
Himmatwala,1.7,MOVIE
"Kyaa Kool Hain Hum 3",1.9,MOVIE
"FRED 3: Camp Fred",2,MOVIE
"Hajwala: The Missing Engine",2,MOVIE
Dostana,2.1,MOVIE
"B. A. Pass 2",2.2,MOVIE
"Time to Dance",2.2,MOVIE
"Myriam Fares: The Journey",2.3,MOVIE
