title,imdb_score,show_type
"Chhota Bheem & Krishna vs Zimbara",9.1,MOVIE
Major,9.1,MOVIE
"David Attenborough: A Life on Our Planet",8.9,MOVIE
"C/o Kancharapalem",8.9,MOVIE
Inception,8.8,MOVIE
"Forrest Gump",8.8,MOVIE
"Anbe Sivam",8.7,MOVIE
"Bo Burnham: Inside",8.7,MOVIE
GoodFellas,8.7,MOVIE
"A Lion in the House",8.7,MOVIE
